sku;id_woocommerce;nom;categorie;a_fournir;prix;sur_devis
OPT-WC-41806;41806;Microscope d'enseignement, MSC-T0;Microscopes;photo;100.00;oui
OPT-WC-41810;41810;Microscope numérique / Microscope vidéo, MSC-V103;Microscopes;photo;100.00;oui
OPT-WC-41828;41828;Microscope stéréo (microscope à dissection), MSC-ST45;Microscopes;photo;100.00;oui
OPT-WC-41786;41786;Microscope stéréo (microscope à dissection), MSC-ST45T;Microscopes;photo;100.00;oui
OPT-WC-41825;41825;Microscope à fluorescence, MSC-F201T(Siedentopf);Microscopes;photo;100.00;oui
OPT-WC-41725;41725;Microtome rotatif manuel RMT-M250;Biologie Clinique;photo;100.00;oui
OPT-WC-41714;41714;Microtome rotatif semi-automatique RMT-SA390;Biologie Clinique;photo;100.00;oui
OPT-WC-41717;41717;Microtome rotatif, RMT-202;Biologie Clinique;photo;100.00;oui
OPT-WC-41847;41847;Mini-centrifugeuse, haute vitesse, CFG-Mini15D;Centrifugeuses;photo;100.00;oui
OPT-WC-37133;37133;Molletière;Équipement du domicile;photo;100.00;oui
OPT-WC-37166;37166;Oreiller en mousse à mémoire de forme avec gel rafraîchissant 30x50cm;Équipement du domicile;photo;100.00;oui
1507017090;;POIRE DE POLITZER;Instrumentation, Injection;description;17.83;non
1507016090;;POIRE ENEMA;Instrumentation, Injection;description;7.99;non
1503084010;;POT À EAU;Équipement du domicile;description;4.79;non
0101211000;;PRÉCELLE AVEC LOUPE;Instrumentation qualité service;description;4.86;non
1307060001- 1307064001- 1307061001- 1307065001- 1307066000- 1307075001- 1307076001- 1307077001- 1307;;Pansement adhésif hydrofilm®;Équipement du domicile;photo;100.00;oui
1309730001- 1309731001- 1309732001- 1309733001- 1309654001- 1309655001- 1309656001- 1309657001- 1309;;Pansement adhésif post-opératoire cosmopor® e;Équipement du domicile;photo;100.00;oui
1309690001- 1309691001- 1309692001- 1309693001- 1309694001- 1309700001- 1309695001- 1309696001- 1309;;Pansement hydrocoll®;Équipement du domicile;photo;100.00;oui
1309040001;;Pansement optiskin®;Équipement du domicile;description;100.00;oui
1309545001- 1309542001- 1309541001- 1309546001- 1309543001- 1309548001- 1309544001- 1309547001- 1309;;Pansement stérile 3m™ tegaderm™ film;Équipement du domicile;photo;100.00;oui
1309081011- 1309082011- 1309083011- 1309085011- 1309086011- 1309087011- 1309070011- 1309071011- 1309;;Pansement zetuvit® e;Équipement du domicile;photo;100.00;oui
OPT-WC-41299;41299;Pictus 500;Automates;photo;100.00;oui
OPT-WC-41304;41304;Pictus 700;Automates;photo;100.00;oui
0230200001- 0230201001;;Pile alcaline clinical;Équipement du domicile;description;3.24;non
0230035000;;Pile auditive renata;Équipement du domicile;description;100.00;oui
0111002073;;Pince anatomique;Instrumentation pour usage unique & qualité bloc;description;100.00;oui
0111100062;;Pince anatomique joleti;Instrumentation pour usage unique & qualité bloc;description;100.00;oui
